Starttime - 2009-11-30 20:40:39.640000
1 : 1 : 1
2 : 3 : 2
3 : 6 : 4
4 : 10 : 4
5 : 15 : 4
6 : 21 : 4
7 : 28 : 6
8 : 36 : 9
9 : 45 : 6
10 : 55 : 4
11 : 66 : 8
12 : 78 : 8
13 : 91 : 4
14 : 105 : 8
15 : 120 : 16
16 : 136 : 8
17 : 153 : 6
18 : 171 : 6
19 : 190 : 8
20 : 210 : 16
21 : 231 : 8
22 : 253 : 4
23 : 276 : 12
24 : 300 : 18
25 : 325 : 6
26 : 351 : 8
27 : 378 : 16
28 : 406 : 8
29 : 435 : 8
30 : 465 : 8
31 : 496 : 10
32 : 528 : 20
33 : 561 : 8
34 : 595 : 8
35 : 630 : 24
36 : 666 : 12
37 : 703 : 4
38 : 741 : 8
39 : 780 : 24
40 : 820 : 12
41 : 861 : 8
42 : 903 : 8
43 : 946 : 8
44 : 990 : 24
45 : 1035 : 12
46 : 1081 : 4
47 : 1128 : 16
48 : 1176 : 24
49 : 1225 : 9
50 : 1275 : 12
51 : 1326 : 16
52 : 1378 : 8
53 : 1431 : 8
54 : 1485 : 16
55 : 1540 : 24
56 : 1596 : 24
57 : 1653 : 8
58 : 1711 : 4
59 : 1770 : 16
60 : 1830 : 16
61 : 1891 : 4
62 : 1953 : 12
63 : 2016 : 36
64 : 2080 : 24
65 : 2145 : 16
66 : 2211 : 8
67 : 2278 : 8
68 : 2346 : 16
69 : 2415 : 16
70 : 2485 : 8
71 : 2556 : 18
72 : 2628 : 18
73 : 2701 : 4
74 : 2775 : 12
75 : 2850 : 24
76 : 2926 : 16
77 : 3003 : 16
78 : 3081 : 8
79 : 3160 : 16
80 : 3240 : 40
81 : 3321 : 10
82 : 3403 : 4
83 : 3486 : 16
84 : 3570 : 32
85 : 3655 : 8
86 : 3741 : 8
87 : 3828 : 24
88 : 3916 : 12
89 : 4005 : 12
90 : 4095 : 24
91 : 4186 : 16
92 : 4278 : 16
93 : 4371 : 8
94 : 4465 : 8
95 : 4560 : 40
96 : 4656 : 20
97 : 4753 : 6
98 : 4851 : 18
99 : 4950 : 36
100 : 5050 : 12
101 : 5151 : 8
102 : 5253 : 8
103 : 5356 : 12
104 : 5460 : 48
105 : 5565 : 16
106 : 5671 : 4
107 : 5778 : 16
108 : 5886 : 16
109 : 5995 : 8
110 : 6105 : 16
111 : 6216 : 32
112 : 6328 : 16
113 : 6441 : 8
114 : 6555 : 16
115 : 6670 : 16
116 : 6786 : 24
117 : 6903 : 12
118 : 7021 : 8
119 : 7140 : 48
120 : 7260 : 36
121 : 7381 : 6
122 : 7503 : 8
123 : 7626 : 16
124 : 7750 : 16
125 : 7875 : 24
126 : 8001 : 12
127 : 8128 : 14
128 : 8256 : 28
129 : 8385 : 16
130 : 8515 : 8
131 : 8646 : 16
132 : 8778 : 32
133 : 8911 : 8
134 : 9045 : 16
135 : 9180 : 48
136 : 9316 : 12
137 : 9453 : 8
138 : 9591 : 8
139 : 9730 : 16
140 : 9870 : 32
141 : 10011 : 8
142 : 10153 : 8
143 : 10296 : 48
144 : 10440 : 48
145 : 10585 : 8
146 : 10731 : 12
147 : 10878 : 24
148 : 11026 : 8
149 : 11175 : 12
150 : 11325 : 12
151 : 11476 : 12
152 : 11628 : 36
153 : 11781 : 24
154 : 11935 : 16
155 : 12090 : 32
156 : 12246 : 16
157 : 12403 : 4
158 : 12561 : 8
159 : 12720 : 40
160 : 12880 : 40
161 : 13041 : 20
162 : 13203 : 10
163 : 13366 : 8
164 : 13530 : 32
165 : 13695 : 16
166 : 13861 : 4
167 : 14028 : 24
168 : 14196 : 36
169 : 14365 : 12
170 : 14535 : 24
171 : 14706 : 24
172 : 14878 : 8
173 : 15051 : 8
174 : 15225 : 24
175 : 15400 : 48
176 : 15576 : 32
177 : 15753 : 8
178 : 15931 : 4
179 : 16110 : 24
180 : 16290 : 24
181 : 16471 : 8
182 : 16653 : 16
183 : 16836 : 24
184 : 17020 : 24
185 : 17205 : 16
186 : 17391 : 16
187 : 17578 : 16
188 : 17766 : 32
189 : 17955 : 32
190 : 18145 : 8
191 : 18336 : 24
192 : 18528 : 24
193 : 18721 : 4
194 : 18915 : 16
195 : 19110 : 48
196 : 19306 : 12
197 : 19503 : 12
198 : 19701 : 12
199 : 19900 : 18
200 : 20100 : 36
201 : 20301 : 8
202 : 20503 : 8
203 : 20706 : 32
204 : 20910 : 32
205 : 21115 : 8
206 : 21321 : 12
207 : 21528 : 48
208 : 21736 : 32
209 : 21945 : 32
210 : 22155 : 16
211 : 22366 : 8
212 : 22578 : 16
213 : 22791 : 8
214 : 23005 : 8
215 : 23220 : 48
216 : 23436 : 48
217 : 23653 : 8
218 : 23871 : 8
219 : 24090 : 32
220 : 24310 : 32
221 : 24531 : 16
222 : 24753 : 8
223 : 24976 : 20
224 : 25200 : 90
225 : 25425 : 18
226 : 25651 : 4
227 : 25878 : 16
228 : 26106 : 16
229 : 26335 : 8
230 : 26565 : 32
231 : 26796 : 48
232 : 27028 : 12
233 : 27261 : 12
234 : 27495 : 24
235 : 27730 : 16
236 : 27966 : 16
237 : 28203 : 16
238 : 28441 : 8
239 : 28680 : 32
240 : 28920 : 32
241 : 29161 : 6
242 : 29403 : 18
243 : 29646 : 24
244 : 29890 : 24
245 : 30135 : 24
246 : 30381 : 16
247 : 30628 : 24
248 : 30876 : 24
249 : 31125 : 16
250 : 31375 : 8
251 : 31626 : 24
252 : 31878 : 48
253 : 32131 : 8
254 : 32385 : 16
255 : 32640 : 64
256 : 32896 : 16
257 : 33153 : 8
258 : 33411 : 16
259 : 33670 : 32
260 : 33930 : 48
261 : 34191 : 12
262 : 34453 : 4
263 : 34716 : 24
264 : 34980 : 48
265 : 35245 : 16
266 : 35511 : 16
267 : 35778 : 16
268 : 36046 : 8
269 : 36315 : 16
270 : 36585 : 16
271 : 36856 : 16
272 : 37128 : 64
273 : 37401 : 16
274 : 37675 : 12
275 : 37950 : 48
276 : 38226 : 16
277 : 38503 : 4
278 : 38781 : 12
279 : 39060 : 72
280 : 39340 : 24
281 : 39621 : 8
282 : 39903 : 8
283 : 40186 : 8
284 : 40470 : 32
285 : 40755 : 32
286 : 41041 : 16
287 : 41328 : 60
288 : 41616 : 45
289 : 41905 : 12
290 : 42195 : 16
291 : 42486 : 16
292 : 42778 : 8
293 : 43071 : 12
294 : 43365 : 24
295 : 43660 : 24
296 : 43956 : 48
297 : 44253 : 16
298 : 44551 : 8
299 : 44850 : 48
300 : 45150 : 48
301 : 45451 : 8
302 : 45753 : 8
303 : 46056 : 32
304 : 46360 : 32
305 : 46665 : 24
306 : 46971 : 12
307 : 47278 : 16
308 : 47586 : 32
309 : 47895 : 16
310 : 48205 : 8
311 : 48516 : 24
312 : 48828 : 24
313 : 49141 : 4
314 : 49455 : 24
315 : 49770 : 48
316 : 50086 : 8
317 : 50403 : 8
318 : 50721 : 16
319 : 51040 : 48
320 : 51360 : 48
321 : 51681 : 16
322 : 52003 : 16
323 : 52326 : 40
324 : 52650 : 60
325 : 52975 : 12
326 : 53301 : 8
327 : 53628 : 24
328 : 53956 : 24
329 : 54285 : 32
330 : 54615 : 16
331 : 54946 : 8
332 : 55278 : 24
333 : 55611 : 12
334 : 55945 : 8
335 : 56280 : 64
336 : 56616 : 32
337 : 56953 : 6
338 : 57291 : 12
339 : 57630 : 32
340 : 57970 : 32
341 : 58311 : 24
342 : 58653 : 24
343 : 58996 : 24
344 : 59340 : 48
345 : 59685 : 16
346 : 60031 : 4
347 : 60378 : 16
348 : 60726 : 16
349 : 61075 : 12
350 : 61425 : 48
351 : 61776 : 80
352 : 62128 : 20
353 : 62481 : 8
354 : 62835 : 16
355 : 63190 : 16
356 : 63546 : 32
357 : 63903 : 16
358 : 64261 : 4
359 : 64620 : 36
360 : 64980 : 54
361 : 65341 : 6
362 : 65703 : 12
363 : 66066 : 48
364 : 66430 : 32
365 : 66795 : 16
366 : 67161 : 8
367 : 67528 : 16
368 : 67896 : 48
369 : 68265 : 24
370 : 68635 : 16
371 : 69006 : 32
372 : 69378 : 16
373 : 69751 : 8
374 : 70125 : 32
375 : 70500 : 48
376 : 70876 : 24
377 : 71253 : 32
378 : 71631 : 16
379 : 72010 : 16
380 : 72390 : 32
381 : 72771 : 8
382 : 73153 : 4
383 : 73536 : 28
384 : 73920 : 112
385 : 74305 : 16
